Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;MPN;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Send me an email when the quantity is under this level;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories  (x,y,z...)
1;1;Koncert Śpiewajacej Rodziny Kaczmarek Usta milczą, dusza śpiewa;Koncerty;60.00;5;30;0;null;null;null;null;event-1;null;null;Agencja Artystyczna ŚPIEWAJĄCA RODZINA KACZMAREK Piotr Kaczmarek;0000000000001;00000000001;null;null;0.3;0.1;0.005;0.03;null;null;100;0;0;0;both;0;null;null;"<b>Organizator:</b> Agencja Artystyczna ŚPIEWAJĄCA RODZINA KACZMAREK Piotr Kaczmarek<br/><b>Miasto</b>: Kielce<br/><b>Lokacja</b>: Filharmonia Świętokrzyska im. Oskara Kolberga w Kielcach<br/><b>Czas</b>: 20.11.2021 , g. 18:00 (sobota)";"„Usta milczą, dusza śpiewa”<br/> <br/>Zapraszamy Państwa na wyjątkowy wieczór, który będzie podróżą w krainę operetki, barwnych salonów arcyksiążąt, wystawnych bali i podróżą w krainę czardasza. Nie zabraknie również musicalowych perełek z My Fair Lady czy Upiora w operze. Koncert wypełni piękna muzyka i sentymentalny nastrój - przenikający każdy fragment urokliwego Na scenie wystąpią :<br/> <br/>• Iwona Kaczmarek – sopran • Piotr Kaczmarek – tenor • Wojciech Kaczmarek – baryton ( 20 lat) • Adam Kaczmarek – tenor (17 lat) •<br/> <br/>Akompaniament - Orkiestra Kameralna „Alla Vienna” pod kierownictwem muzycznym prof. Adama Manijaka.<br/> <br/>Prowadzenie koncertu red. Tomasz Szuran.<br/> <br/>Zapraszamy na koncerty Śpiewającej Rodziny Kaczmarek<br/> <br/>www.pieknekoncerty.pl<br/> <br/>www.braciakaczmarek.pl<br/> <br/>Zapraszamy na koncerty Śpiewającej Rodziny Kaczmarek";koncerty;Koncert Śpiewajacej Rodziny Kaczmarek „Usta milczą, dusza śpiewa”;null;null;1;Bilety dostępne;Bilety niedostępne;1;2022-01-01;2021-11-01;1;https://www.bilety24.pl/media/cache/repertoire_big/https---www.bilety24.pl/public/users/909/o/rodzina-na-scenie.jpg;Koncert Śpiewajacej Rodziny Kaczmarek Usta milczą, dusza śpiewa;1;null;0;new;0;1;1;0;0;null;null;null;null;null;0;0;null;null
2;1;Śpiewająca Rodzina KACZMAREK Usta milczą, dusza śpiewa;Koncerty;65.00;5;32.5;0;null;null;null;null;event-2;null;null;Filharmonia Świętokrzyska im Oskara Kolberga;0000000000002;00000000002;null;null;0.3;0.1;0.005;0.03;null;null;100;0;0;0;both;0;null;null;"<b>Organizator:</b> Filharmonia Świętokrzyska im Oskara Kolberga<br/><b>Miasto</b>: Kielce<br/><b>Lokacja</b>: Filharmonia Świętokrzyska im. Oskara Kolberga w Kielcach<br/><b>Czas</b>: 20.11.2021 , g. 18:00 (sobota)";"Zapraszamy Państwa na wyjątkowy wieczór, który będzie podróżą w krainę operetki, barwnych salonów arcyksiążąt, wystawnych bali i w krainę Czardasza. Nie zabraknie również musicalowych perełek z My Fair Lady czy Upiora w operze. Koncert wypełni piękna muzyka i sentymentalny nastrój. Na scenie wystąpią:<br/>• Iwona Kaczmarek – sopran • Piotr Kaczmarek – tenor • Wojciech Kaczmarek – baryton (20 lat) • Adam Kaczmarek – tenor (17 lat) •<br/>Akompaniament - Orkiestra Kameralna „Alla Vienna” pod kierownictwem muzycznym prof. Adama Manijaka.<br/><br/>Prowadzenie koncertu red. Tomasz Szuran.<br/><br/>Zapraszamy na koncerty Śpiewającej Rodziny Kaczmarek<br/>www.pieknekoncerty.pl<br/>www.braciakaczmarek.pl<br/><br/>Organizator Śpiewająca Rodzina Kaczmarek";koncerty;Śpiewająca Rodzina KACZMAREK Usta milczą, dusza śpiewa;null;null;2;Bilety dostępne;Bilety niedostępne;1;2022-01-01;2021-11-01;1;https://www.bilety24.pl/media/cache/repertoire_big/https---www.bilety24.pl/public/users/1251/o/kaczmarek.jpg;Śpiewająca Rodzina KACZMAREK Usta milczą, dusza śpiewa;1;null;0;new;0;1;1;0;0;null;null;null;null;null;0;0;null;null
3;1;Mira i Tadeusz;Koncerty;156.00;5;78;0;null;null;null;null;event-3;null;null;Państwowy Zespół Ludowy Pieśni i Tańca Mazowsze;0000000000003;00000000003;null;null;0.3;0.1;0.005;0.03;null;null;100;0;0;0;both;0;null;null;"<b>Organizator:</b> Państwowy Zespół Ludowy Pieśni i Tańca Mazowsze<br/><b>Miasto</b>: Otrębusy<br/><b>Lokacja</b>: Matecznik "Mazowsze"<br/><b>Czas</b>: 20.11.2021 , g. 18:00 (sobota)";"Koncert „Mira i Tadeusz”<br/>Gdyby nie Mira, nie byłoby Sygietyńskiego, ani „Mazowsza” – powiedział kiedyś Marian Hemar, wybitny polski poeta, przyjaciel Sygietyńskich. To zdanie oddaje w pełni rolę obojga artystów, w powstaniu zespołu, który od ponad siedemdziesięciu lat propaguje polską kulturę narodową w jej regionalnych odmianach, na scenach całego świata.<br/>W tym roku przypada 120. rocznica urodzin Miry Zimińskiej-Sygietyńskiej i 125. rocznica urodzin Tadeusza Sygietyńskiego. Z tej okazji zespół, który począł się w marzeniach Tadeusza i został ukształtowany muzycznie przez niego, przy wizjonerskim, scenicznym wsparciu Miry, pragnie zaprezentować Państwu wyjątkowy koncert pod tytułem „Mira i Tadeusz”. Widowisko pełne najpiękniejszych pieśni i tańców z repertuaru „Mazowsza”, przepełnione wspomnieniami o założycielach i ich życiu sprzed „Mazowsza” i z „Mazowszem”, na długo pozostanie w pamięci każdego, kto zdecyduje się je obejrzeć.<br/>„Mazowsze” młode, świeże, piękne i pełne wigoru – takie jak chcieli jego założyciele, zabierze Państwa w niezapomnianą podróż w czasie i przestrzeni po Polsce i polskiej kulturze. Wystąpią soliści, balet, chór i orkiestra PZLPiT „Mazowsze” pod dyrekcją maestro Jacka Bonieckiego.";koncerty;Mira i Tadeusz;null;null;3;Bilety dostępne;Bilety niedostępne;1;2022-01-01;2021-11-01;1;https://www.bilety24.pl/media/cache/repertoire_big/https---www.bilety24.pl/public/users/602/o/mit-2011.jpg;Mira i Tadeusz;1;null;0;new;0;1;1;0;0;null;null;null;null;null;0;0;null;null
4;1;WĄGROWIEC FEST 2021;Koncerty;50.00;5;25;0;null;null;null;null;event-4;null;null;Miejski Dom Kultury;0000000000004;00000000004;null;null;0.3;0.1;0.005;0.03;null;null;100;0;0;0;both;0;null;null;"<b>Organizator:</b> Miejski Dom Kultury<br/><b>Miasto</b>: Wągrowiec<br/><b>Lokacja</b>: Hala OSiR<br/><b>Czas</b>: 20.11.2021 , g. 18:00 (sobota)";"Miejski Dom Kultury w Wągrowcu zaprasza na kolejną edycję Wągrowiec Fest! Już 20 listopada o godz. 18:00 na Hali Sportowej Ośrodka Sportu i Rekreacji w Wągrowcu zagrają dla Państwa znani i lubiani artyści muzyki śląskiej: Tomasz Calicki, De Silvers i Leszek i Minika Filec. Imprezę poprowadzi Andrzej Miś.";koncerty;WĄGROWIEC FEST 2021;null;null;4;Bilety dostępne;Bilety niedostępne;1;2022-01-01;2021-11-01;1;https://www.bilety24.pl/media/cache/repertoire_big/https---www.bilety24.pl/public/users/630/o/wrc-fest-2021.jpg;WĄGROWIEC FEST 2021;1;null;0;new;0;1;1;0;0;null;null;null;null;null;0;0;null;null
5;1;Tribute to Chick Corea;Koncerty;20.00;5;10;0;null;null;null;null;event-5;null;null;Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznaniu;0000000000005;00000000005;null;null;0.3;0.1;0.005;0.03;null;null;100;0;0;0;both;0;null;null;"<b>Organizator:</b> Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznaniu<br/><b>Miasto</b>: Poznań<br/><b>Lokacja</b>: Aula Nova Akademii Muzycznej w Poznaniu<br/><b>Czas</b>: 20.11.2021 , g. 18:00 (sobota)";"Tribute to Chick Corea<br/>Koncert zespołów jazowych wpisuje się już na stałe w kalendarium imprez, których gospodarzem jest Katedra Instrumentalistyki i Wokalistyki Jazzowej. Jego ideą jest prezentacja pracy zespołów skupiających studentów wszystkich roczników I i II stopnia. Tegoroczny koncert poświęcony będzie twórczości wybitnego pianisty i kompozytora, Chicka Corei, zmarłego w lutym 2021.";koncerty;Tribute to Chick Corea;null;null;5;Bilety dostępne;Bilety niedostępne;1;2022-01-01;2021-11-01;1;https://www.bilety24.pl/media/cache/repertoire_big/https---www.bilety24.pl/public/users/1218/o/20112021-koncert-jazz.jpg;Tribute to Chick Corea;1;null;0;new;0;1;1;0;0;null;null;null;null;null;0;0;null;null
6;1;Kameralny Koncert Chopinowski;Koncerty;50.00;5;25;0;null;null;null;null;event-6;null;null;Chopin Point Warsaw;0000000000006;00000000006;null;null;0.3;0.1;0.005;0.03;null;null;100;0;0;0;both;0;null;null;"<b>Organizator:</b> Chopin Point Warsaw<br/><b>Miasto</b>: Warszawa<br/><b>Lokacja</b>: CHOPIN POINT WARSAW<br/><b>Czas</b>: 20.11.2021 , g. 19:00 (sobota)";"Kameralny koncert Chopinowski w samym sercu Warszawy na Krakowskim Przedmieściu 83 z widokiem na plac Zamkowy , w pobliżu miejsca dawnego konserwatorium muzycznego do którego uczęszczał sam Chopin.<br/>Chopin Point Warsaw to miejsce w którym o 19:00 mają Państwo możliwość spotkania z muzyka Chopina na żywo w wykonaniu wybitnie utalentowanych polskich pianistów. Kameralny koncert w otoczeniu dzieł sztuki najlepszych polskich artystów tworzy wyjątkową atmosferę i niezapomnianą ucztę dla duszy.<br/>Przed koncertem naszym gościom serwujemy poczęstunek napojem (w cenie biletu): sok jabłkowy lub miód pitny a zaraz po nim zapraszamy na ok 50 minutowe spotkanie z muzyką Chopina na żywo. Całość wydarzenia trwa 1 godz.<br/> <br/>Prosimy o przybycie 10 min wcześniej.<br/>Bilet ulgowy przysługuje: uczniom/studentom, seniorom od 65r.ż (na podstawie dokumentu uprawniającego do zniżki).<br/>ADRES:<br/>Krakowskie Przedmieście 83, 00-079 Warszawa<br/> <br/> <br/>Experience an intimate Chopin concert in the heart of Warsaw at Krakowskie Przedmieście 83 with the view on the Castle Square, near the site of the former music conservatory attended by Chopin.<br/>Chopin Point Warsaw is a place where, at 7 p.m., you have the opportunity to listen Chopin’s live music, performed by outstandingly talented Polish pianists. An intimate concert surrounded by works of art by the best Polish artists creates a unique atmosphere and an unforgettable feast for the soul.<br/>Follow the artist during 45-minute meeting with live Chopin masterpieces. Before the concert you will be offered complimentary drinks: glass of mead - traditional Polish alcohol or apple juice.<br/> <br/>Please arrive 10 minutes before the concert.<br/> <br/>Reduced ticket: students, seniors over 65 years old<br/> <br/>ADDRESS:<br/>Krakowskie Przedmieście 83 00-079 Warsaw";koncerty;Kameralny Koncert Chopinowski;null;null;6;Bilety dostępne;Bilety niedostępne;1;2022-01-01;2021-11-01;1;https://www.bilety24.pl/media/cache/repertoire_big/https---www.bilety24.pl/public/users/1199/o/grafika1.jpg;Kameralny Koncert Chopinowski;1;null;0;new;0;1;1;0;0;null;null;null;null;null;0;0;null;null
7;1;16.Gdańska Jesień Pianistyczna - Nelson Goerner;Koncerty;22.00;5;11;0;null;null;null;null;event-7;null;null;Polska Filharmonia Bałtycka im. Fryderyka Chopina w Gdańsku;0000000000007;00000000007;null;null;0.3;0.1;0.005;0.03;null;null;100;0;0;0;both;0;null;null;"<b>Organizator:</b> Polska Filharmonia Bałtycka im. Fryderyka Chopina w Gdańsku<br/><b>Miasto</b>: Gdańsk<br/><b>Lokacja</b>: Polska Filharmonia Bałtycka im. Fryderyka Chopina w Gdańsku<br/><b>Czas</b>: 20.11.2021 , g. 19:00 (sobota)";"Nelson Goerner – fortepian<br/>Prowadzenie: Konrad Mielnik<br/>Program:<br/>Jan Sebastian Bach – Chromatyczna Fantazja i Fuga d-moll, BWV 903 [12']<br/>Franz Schubert – 4 Impromptus, op. 142, D. 935 [35']<br/>Isaac Albéniz – 3 fragmenty suity Iberia [15']Evocación – tom IEl puerto – tom ITriana – tom II";koncerty;16.Gdańska Jesień Pianistyczna - Nelson Goerner;null;null;7;Bilety dostępne;Bilety niedostępne;1;2022-01-01;2021-11-01;1;https://www.bilety24.pl/media/cache/repertoire_big/https---www.bilety24.pl/public/users/244/o/goerner-wyd.jpg;16.Gdańska Jesień Pianistyczna - Nelson Goerner;1;null;0;new;0;1;1;0;0;null;null;null;null;null;0;0;null;null
8;1;MENDELSSOHN  HOCHBERG  BRAHMS Koncert poświęcony pamięci prof. Piotra Barona;Koncerty;25.00;5;12.5;0;null;null;null;null;event-8;null;null;Polskie Radio SA;0000000000008;00000000008;null;null;0.3;0.1;0.005;0.03;null;null;100;0;0;0;both;0;null;null;"<b>Organizator:</b> Polskie Radio SA<br/><b>Miasto</b>: Warszawa<br/><b>Lokacja</b>: Studio Koncertowe Polskiego Radia im.Witolda Lutosławskiego<br/><b>Czas</b>: 20.11.2021 , g. 19:00 (sobota)";"20 listopada 2021, godz. 19.00<br/>Studio Koncertowe Polskiego Radia im. Witolda Lutosławskiego w Warszawie<br/><br/>Wykonawcy<br/>Zofia Antes | fortepian<br/>Polska Orkiestra Sinfonia Iuventus im. Jerzego Semkowa<br/>Marek Wroniszewski | dyrygent<br/><br/>Program<br/>Felix Mendelssohn-Bartholdy – Uwertura do „Snu nocy letniej”<br/>Bolko Graf von Hochberg – Koncert fortepianowy c-moll op. 42<br/>Johannes Brahms – I Symfonia c-moll op. 68<br/><br/>Felix Mendelssohn już jako nastolatek miał w swym dorobku wiele znakomitych kompozycji – pieśni, fortepianowe miniatury, dwie opery komiczne, a gdy miał lat szesnaście tworzył już prawdziwe arcydzieła – jak „Oktet smyczkowy”. Rok później powstał utwór, który miał przynieść młodemu kompozytorowi prawdziwą sławę – była to uwertura do „Snu nocy letniej” Szekspira. Stworzył ją bez specjalnej okazji, pod wpływem natchnienia wywołanego lekturą zawsze mu bliskiego angielskiego dramatopisarza. Prawykonanie dzieła odbyło się w Szczecinie 20 lutego 1827 roku pod batutą sławnego kapelmistrza Karla Loewego i odniosło olśniewający sukces, potwierdzony dwa lata później wspaniałym przyjęciem w Londynie, gdzie uznano, iż utwór wprost genialnie oddaje szekspirowskiego ducha i oniryczną aurę najbardziej uroczego z jego dramatów. Po latach Mendelssohn powrócił do tego tematu, poproszony przez króla Prus Wilhelma IV o skomponowanie muzyki do całego spektaklu „Snu nocy letniej”.<br/>Johannes Brahms po porażce źle przyjętego przez publiczność i krytykę I Koncertu fortepianowego (1859) niemal przez dwie dekady nie przedstawił nowego dzieła z udziałem wielkiej orkiestry. Chociaż pierwszą ze swych czterech symfonii począł szkicować już w roku 1855, to wykonanie jej ostatecznej wersji miało miejsce ponad 20 lat później, w 1876! Przyjęto ją wówczas z entuzjazmem, a wielu krytyków porównywało ją z dziełami Beethovena (ku pewnej irytacji samego autora). Mimo zewnętrznie klasycznych rysów, Symfonia c‑moll nasycona jest arcyromantyczną ekspresją; ogromne wrażenie robi otwierająca dzieło introdukcja na tle miarowych niczym bicie serca uderzeń w kotły. Zewnętrznym (i od razu zauważonym przez słuchaczy) odwołaniem do Beethovena jest podniosły, hymniczny charakter głównego tematu finału, który zdaje się nawiązywać do melodii „Ody do radości” z jego IX Symfonii.<br/>W dziejach muzyki znamy wiele przypadków arystokratów, którzy szczycili się prawdziwym muzycznym talentem i byli cenionymi kompozytorami – należał do nich m.in. Carlo Gesualdo, książę Venosy, hrabia Unico Wilhelm van Wassenaer, pruski król Fryderyk II Wielki, a w czasach nam bliższych – hrabia Bolko von Hochberg z możnego rodu przez wieki władającego rozległymi posiadłościami Śląska, wśród nich – zamkiem Książ. Ceniony w swej epoce autor oper, pieśni, utworów kameralnych (wydawanych pod pseudonimem Johann Heinrich Franz) piastował też ważne urzędy, m.in. intendenta Królewskiego Instytutu Teatrów w Berlinie. Jego nieco zapomniana dziś twórczość utrzymana w późnoromantycznym duchu jest na nowo odkrywana staraniem rodziny oraz polskich muzykologów. Współczesne wykonanie jego Koncertu fortepianowego c-moll zabrzmi w interpretacji cenionej pianistki i kameralistki Zofii Antes, aktywnej koncertowo w Polsce i za granicą, pracującej m.in. w Instytucie Muzyki Uniwersytetu Warmińsko-Mazurskiego, a koncert poprowadzi Marek Wroniszewski, ceniony dyrygent, uznany za najlepszego polskiego uczestnika X Międzynarodowego Konkursu im. Grzegorza Fitelberga w Katowicach, zastępca dyrektora Polskiej Orkiestry Sinfonia Iuventus im. Jerzego Semkowa.<br/>Niezwykły śląski akcent programu to zarazem muzyczny hołd pamięci wybitnego badacza i popularyzatora muzyki tego regionu, prof. Piotra Barona, cenionego pedagoga (wykładowcy m.in. Państwowej Wyższej Szkoły Zawodowej w Nysie), twórcy i dyrektora Festiwalu Kompozytorów Śląskich, dyrygenta, organisty, kompozytora i arteterapeuty, którego przedwczesna śmierć 24 lipca 2020 roku okryła żałobą środowisko muzyczne regionu i kraju.<br/><br/>Podczas wydarzenia obowiązują zasady ustalone w Rozporządzeniu Rady Ministrów w sprawie ustanowienia określonych ograniczeń, nakazów i zakazów w związku z wystąpieniem stanu epidemii wraz z ich aktualizacjami: https://www.gov.pl/web/koronawirus/aktualne-zasady-i-ograniczenia<br/><br/>Oświadczenie uczestnika wydarzenia w związku ze stanem epidemii SARS-COV-2: https://bit.ly/3uP3REg<br/><br/>Patronat medialny: TVP Kultura, Presto, polmic.pl<br/><br/>Organizator: Polska Orkiestra Sinfonia Iuventus im. Jerzego Semkowa<br/>Organizator zastrzega prawo do wprowadzania wszelkich zmian w koncertach, a także możliwość ich odwołania<br/>Więcej na: www.sinfoniaiuventus.pl";koncerty;MENDELSSOHN | HOCHBERG | BRAHMS Koncert poświęcony pamięci prof. Piotra Barona;null;null;8;Bilety dostępne;Bilety niedostępne;1;2022-01-01;2021-11-01;1;https://www.bilety24.pl/media/cache/repertoire_big/https---www.bilety24.pl/public/users/682/o/posi-21-listopada-2021.jpg;MENDELSSOHN  HOCHBERG  BRAHMS Koncert poświęcony pamięci prof. Piotra Barona;1;null;0;new;0;1;1;0;0;null;null;null;null;null;0;0;null;null
9;1;Mary Komasa;Koncerty;30.00;5;15;0;null;null;null;null;event-9;null;null;Centrum Kultury i Biblioteka Publiczna Gminy Suchy Las;0000000000009;00000000009;null;null;0.3;0.1;0.005;0.03;null;null;100;0;0;0;both;0;null;null;"<b>Organizator:</b> Centrum Kultury i Biblioteka Publiczna Gminy Suchy Las<br/><b>Miasto</b>: Suchy Las<br/><b>Lokacja</b>: Centrum Kultury i Biblioteka Publiczna w Suchym Lesie<br/><b>Czas</b>: 20.11.2021 , g. 19:00 (sobota)";"20 listopada Centrum Kultury w Suchym Lesie odwiedzi Mary Komasa w muzycznym trio. Artystka zadebiutowała w 2015 roku. Jej twórczość, łącząca elementy progresywnej elektroniki, cytaty z pop, a także brzmienia charakterystyczne dla muzyki filmowej, zyskała sobie szeroki rozgłos w Polsce i poza jej granicami. Druga płyta Mary, Disarm, ukazała się jednocześnie w Polsce, Niemczech, Austrii i Szwajcarii. Jej producenci, londyńskie duo God Colony, wywodzą się ze sceny alternatywnego hip hopu. Ich podejście zderzyło się z szerokim brzmieniem orkiestry i organów oraz z przekazem opisującym egzystencjalny i emocjonalny kryzys młodej kobiety, która uczy się mówić swoim głosem w realiach gwałtownych przemian otaczającego ją świata. Obecnie Mary pracuje nad materiałem na swój trzeci album, który ukaże się w przyszłym roku.<br/>Mary wchodzi na scenę z nową energią, bardziej odsłonięta, wzmocniona, dojrzalsza. Wszystko jest na wierzchu, każda emocja i każdy gest nabiera znaczenia.<br/>Disarm but don’t surrender – odłóż broń ale nie poddawaj się.<br/><br/>Mary Komasa20 listopada 2021, godz. 19:00Centrum Kultury i Biblioteka Publiczna Gminy Suchy LasUl. Szkolna 16bilety: 50/30 zł w sekretariacie CKiBP lub na stronie www.bilety24.pl";koncerty;Mary Komasa;null;null;9;Bilety dostępne;Bilety niedostępne;1;2022-01-01;2021-11-01;1;https://www.bilety24.pl/media/cache/repertoire_big/https---www.bilety24.pl/public/users/491/o/plakat-680x980.jpg;Mary Komasa;1;null;0;new;0;1;1;0;0;null;null;null;null;null;0;0;null;null
10;1;ANDRZEJ SIKOROWSKI - Koncert Jubileuszowy;Koncerty;119.00;5;59.5;0;null;null;null;null;event-10;null;null;WIKART;0000000000010;00000000010;null;null;0.3;0.1;0.005;0.03;null;null;100;0;0;0;both;0;null;null;"<b>Organizator:</b> WIKART<br/><b>Miasto</b>: Kalisz<br/><b>Lokacja</b>: Aula im. prof. Jerzego Rubińskiego w Kaliszu<br/><b>Czas</b>: 20.11.2021 , g. 19:00 (sobota)";"ANDRZEJ SIKOROWSKI Z ZESPOŁEM - Koncert Jubileuszowy<br/><br/>Zapraszamy Państwa na niezwykle poruszający koncert - Andrzeja Sikorowskiego- wokalisty, wieloletniego lidera Grupy pod Budą i autora większości jej utworów, przy wsparciu jednego z najlepszych polskich gitarzystów Jacka Królika oraz Gertrudy Szymańskiej i Tomasza Kupca.<br/>Podczas koncert Artysta przeprowadzi widzów przez świat swoich największych przebojów napisanych dla grupy Pod Budą (Kap, kap, płyną łzy) czy śpiewanych poza nią, takich jak: Kraków Piwna 7, Lecz póki co żyjemy, Na całość, Nie przenoście nam stolicy do Krakowa, Ale to już było, oraz pochodzące z trzech wspólnie nagranych z Mają płyt (Kraków-Saloniki, Sprawa rodzinna, Okno na Planty).<br/><br/>Projekt jest połączeniem dwóch muzycznych pokoleń i kultur, polskiej oraz greckiej, opowieścią o rodzinie, która łączy dwie tradycje, jednak zawsze z naciskiem na ich wymowę, liryzm, z tezą, że konsekwentna poetycka wypowiedź może oprzeć się komercji. A w tle rodzinne miasto Andrzeja S. – Kraków.<br/><br/>Andrzej Sikorowski- śpiew, gitara, prowadzenie koncertu, autor tekstów, kompozytor<br/><br/>Jacek Królik/ Jarosław Meus - gitary<br/><br/>Tomasz Kupiec – kontrabas<br/><br/>Gertruda Szymańska- perkusja, instrumenty perkusyjne<br/><br/>oraz<br/><br/>Alek Galas-realizator dźwięku<br/><br/>Informacje o Zespole na stronach:";koncerty;ANDRZEJ SIKOROWSKI - Koncert Jubileuszowy;null;null;10;Bilety dostępne;Bilety niedostępne;1;2022-01-01;2021-11-01;1;https://www.bilety24.pl/media/cache/repertoire_big/https---www.bilety24.pl/public/users/1103/o/sik.jpg;ANDRZEJ SIKOROWSKI - Koncert Jubileuszowy;1;null;0;new;0;1;1;0;0;null;null;null;null;null;0;0;null;null
